Reference Designator,Description,Manufacturer,Part No.,Qty,Link
C1 C2 C5 C8 C10,"Capacitor, Ceramic, 0.1uf, 10%, 50V, X7R",KEMET ELECTRONICS CORPORATION,C1206C104K5RACTU,5,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-1249-1-ND
C3 C4,"Capacitor, Ceramic, 1uF, 100V, X7R, 1206","SAMSUNG ELECTRO-MECHANICS AMERICA, INC",CL31B105KCHSNNE,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1276-2747-1-ND
C9,"Capacitor, Ceramic, 1pF, 50V, NP0, 1206","SAMSUNG ELECTRO-MECHANICS AMERICA, INC",CL31C010CBCNNNC,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=1276-2796-1-ND
IC1 IC2 IC3,"Relay, PhotoMOS, 600V",PANASONIC ELECTRIC WORKS,AQW216EHA,3,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=255-2671-ND
IC4,"IC, Opamp, Quad, R-R, 14-SOIC",MICROCHIP TECHNOLOGY,MCP6024-I/SL,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MCP6024-I/SL-ND
J1,CONN HEADER 20POS 4.2MM VERT TIN,MOLEX INC,39-29-9202,1,http://search.digikey.com/us/en/products/39-29-9202/WM7346-ND/265350
J2,"Connector, PCB, Right Angle, 10 Position",OMRON ELECTRONICS INC,XG4A-1034,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=OR1001-ND
J4 J5,"Connector, PCB, Right Angle, BNC",TYCO ELECTRONICS,5227161-2,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=A32245-ND
J6,"Connector, PCB, Right Angle, SMA",TE CONNECTIVITY,5-1814400-1,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=A97593-ND
J9 J10 J11 J12 J13,"Arduino stackable header pins, 8x1",SAMTEC INC,SSQ-108-23-F-S,5,http://www.samtec.com/Search/search.aspx?q=SSQ-108-23-F-S
J14,"Arduino stackable header pins, 10x1",SAMTEC INC,SSQ-110-23-F-S,1,http://www.samtec.com/Search/search.aspx?q=SSQ-110-23-F-S
J15,"Arduino stackable header pins, 16x2",SAMTEC INC,SSQ-116-23-F-D,1,http://www.samtec.com/Search/search.aspx?q=SSQ-116-23-F-D
J16,"Arduino stackable header pins, 3x2",SAMTEC INC,SSQ-103-23-F-D,1,http://www.samtec.com/Search/search.aspx?q=SSQ-103-23-F-D
JP1-9,"Male Headers Pins, 0.1"" spacing, 3x1",OMRON ELECTRONICS INC,XG8S-0331,9,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=OR1104-ND
LED1 LED2,"LED, Vis, Solid State, Green, 1206",KINGBRIGHT COMPANY LLC,APL3015SGC-F01,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=754-1111-1-ND
P1 P2 P3,"Mini-Fit Jr Connection header, 8POS 4.2MM R/A TIN",MOLEX INC,39301080,3,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM1354-ND
Q1 Q2 Q3,MOSFET N-CH 60V SOT-23,NXP SEMICONDUCTORS,"2N7002P,215",3,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-5818-1-ND
R12,"Resistor, Metal Film, 100, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT100R,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT100RCT-ND
R1 R2 R4 R7 R11 R14 R16 R18,"Resistor, Metal Film, 374, 1%, 1/4W, 1206",YAGEO,RC1206FR-07374RL,8,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-374FRCT-ND
R6 R25 R26 R30,"Resistor, Metal Film, 1k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT1K00,4,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT1K00CT-ND
R15 R31,"Resistor, Metal Film, 2k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT2K00,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT2K00CT-ND
R27,"Resistor, Metal Film, 4.02k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT4K02,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT4K02CT-ND
R10 R13 R20 R21 R29,"Resistor, Metal Film, 5.1k, 5%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206JT5K10,5,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206JT5K10CT-ND
R23 R24 R28,"Resistor, Metal Film, 10k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT10K0,3,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT10K0CT-ND
R5 R17,"Resistor, Metal Film, 20k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT20K0,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT20K0CT-ND
R8 R19,"Resistor, Metal Film, 200k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT200K,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT200KCT-ND
R9 R22,"Resistor, Metal Film, 2M, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT2M00,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF1206FT2M00CT-ND
R3,"Resistor, High Voltage, 10M, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,HVCB1206FKC10M0,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=HVCB1206FKC10M0CT-ND
U1 U2,"IC, SWITCH QUAD 1X1 ",NXP SEMICONDUCTORS,74HCT4066D,2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-8177-1-ND
U3,"IC, Bus Tranceiver, 8-bit, 20-SOIC",TEXAS INSTRUMENTS,SN74LVC245ADWR,1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-1232-1-ND
S1-9,"Shunt Jumper .1""",3M,969102-0000-DA,5,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M9580-ND
,,,,,
Note: C7 and S1-9 do not have to be placed,,,,,
